국가명,기간,수입금액(천불),수입중량(톤),수출금액(천불),수출중량(톤),품목명
미국,2022,341709.0,255875.0,0.0,0.0,아연
방글라데시,2022,342.0,267.0,0.0,0.0,아연
베트남,2022,3451.0,2197.0,0.0,0.0,아연
벨기에,2022,0.0,0.0,0.0,0.0,아연
볼리비아,2022,385585.0,245998.0,0.0,0.0,아연
브라질,2022,4859.0,3780.0,0.0,0.0,아연
사우디아라비아,2022,11146.0,9481.0,0.0,0.0,아연
세르비아,2022,6425.0,4326.0,0.0,0.0,아연
스페인,2022,6633.0,6035.0,0.0,0.0,아연
UAE,2022,,,,,아연
아르헨티나,2022,11928.0,7310.0,0.0,0.0,아연
알바니아,2022,3829.0,11202.0,0.0,0.0,아연
에리트리아,2022,84824.0,56953.0,0.0,0.0,아연
영국,2022,,,,,아연
온두라스,2022,23481.0,19498.0,0.0,0.0,아연
인도,2022,3023.0,22530.0,0.0,0.0,아연
인도네시아,2022,4587.0,2572.0,0.0,0.0,아연
일본,2022,0.0,0.0,4389.0,2200.0,아연
중국,2022,0.0,0.0,1840.0,1350.0,아연
칠레,2022,,,,,아연
캐나다,2022,87643.0,54686.0,0.0,0.0,아연
태국,2022,1508.0,1238.0,0.0,0.0,아연
튀르키예,2022,9110.0,6541.0,0.0,0.0,아연
파키스탄,2022,2390.0,1850.0,0.0,0.0,아연
페루,2022,316915.0,220568.0,0.0,0.0,아연
프랑스,2022,0.0,0.0,0.0,0.0,아연
필리핀,2022,0.0,0.0,0.0,0.0,아연
호주,2022,581253.0,478134.0,31277.0,15848.0,아연
남아프리카공화국,2021,918746.0,4506163.0,0.0,0.0,철
네덜란드,2021,40.0,90.0,0.0,0.0,철
독일,2021,1.0,0.0,0.0,0.0,철
러시아연방,2021,,,,,철
모리타니,2021,1.0,0.0,0.0,0.0,철
미국,2021,3.0,0.0,0.0,0.0,철
바레인,2021,84519.0,336321.0,0.0,0.0,철
베트남,2021,0.0,0.0,0.0,1.0,철
볼리비아,2021,0.0,0.0,0.0,0.0,철
브라질,2021,1547005.0,8455746.0,0.0,0.0,철
스웨덴,2021,5.0,6.0,0.0,0.0,철
스페인,2021,,,,,철
싱가포르,2021,,,,,철
영국,2021,0.0,0.0,0.0,0.0,철
오만,2021,,,,,철
우루과이,2021,8.0,0.0,0.0,0.0,철
우크라이나,2021,12414.0,55189.0,0.0,0.0,철
이탈리아,2021,0.0,0.0,3.0,0.0,철
인도,2021,187526.0,903139.0,0.0,0.0,철
